lemma,oddsr
hangen,5.03
grijpen,4.39
staan,4.14
verrichten,3.91
verlenen,3.65
goedkeuren,3.44
tonen,3.04
hebben,2.97
stellen,2.87
brengen,2.77
zitten,2.76
behoren,2.70
laten,2.60
roepen,2.51
leveren,2.45
verklaren,2.45
verwekken,2.42
steken,2.36
geven,2.35
nemen,2.30
kampen,-71.75
zeggen,-44.43
danken,-25.11
lijden,-12.16
munten,-6.26
bedoeld,-5.67
bieden,-5.43
begrijpen,-3.92
bedriegen,-3.82
verboden,-3.79
leven,-3.70
verraden,-3.24
vergissen,-3.07
besteden,-3.06
dwingen,-2.73
verkrachten,-2.73
regelen,-2.56
slapen,-2.44
liegen,-2.41
eten,-2.35
